ObjectID,KiloNBR,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side
1582233,LHP200418001791,FORT WEAVER RD&KOLOWAKA DR,Honolulu_PD_HI_LHP200418001791_210,"Honolulu PD, HI",04/19/2020 07:52:00 AM +0000,DUI,M,100,10187
1582234,LHP200418001818,FORT BARRETTE RD&KAPOLEI PKWY,Honolulu_PD_HI_LHP200418001818_210,"Honolulu PD, HI",04/19/2020 08:01:00 AM +0000,DUI,M,100,10188
1582235,LHP200418001867,1800 BLOCK POKI ST,Honolulu_PD_HI_LHP200418001867_064,"Honolulu PD, HI",04/19/2020 08:24:00 AM +0000,VEHICLE BREAK-IN/THEFT,M,100,10189
1582236,LHP200418001884,2400 BLOCK N SCHOOL ST,Honolulu_PD_HI_LHP200418001884_060,"Honolulu PD, HI",04/19/2020 08:29:00 AM +0000,THEFT/LARCENY,M,100,10190
1582237,LHP200418002040,800 BLOCK N NIMITZ HWY,Honolulu_PD_HI_LHP200418002040_220,"Honolulu PD, HI",04/19/2020 09:22:00 AM +0000,DRUGS/ALCOHOL VIOLATIONS,M,100,10191
1582238,LHP200418002075,1000 BLOCK LUNALILO HOME RD,Honolulu_PD_HI_LHP200418002075_240,"Honolulu PD, HI",04/19/2020 09:40:00 AM +0000,DISTURBING THE PEACE,M,100,10192
1582239,LHP200419000008,600 BLOCK CALIFORNIA AVE,Honolulu_PD_HI_LHP200419000008_060,"Honolulu PD, HI",04/19/2020 10:09:00 AM +0000,THEFT/LARCENY,M,100,10193
1582240,LHP200419000035,1400 BLOCK AHONUI ST,Honolulu_PD_HI_LHP200419000035_240,"Honolulu PD, HI",04/19/2020 10:31:00 AM +0000,DISTURBING THE PEACE,M,100,10194
1582241,LHP200419000043,2700 BLOCK KAIMUKI AVE,Honolulu_PD_HI_LHP200419000043_140,"Honolulu PD, HI",04/19/2020 10:33:00 AM +0000,VANDALISM,M,100,10195
1582242,LHP200419000054,980400 BLOCK KAAHELE ST,Honolulu_PD_HI_LHP200419000054_064,"Honolulu PD, HI",04/19/2020 10:39:00 AM +0000,VEHICLE BREAK-IN/THEFT,M,100,10196
1582243,LHP200419000063,940300 BLOCK PUPUOLE ST,Honolulu_PD_HI_LHP200419000063_140,"Honolulu PD, HI",04/19/2020 10:49:00 AM +0000,VANDALISM,M,100,10197
1582244,LHP200419000111,100 BLOCK ONEAWA ST,Honolulu_PD_HI_LHP200419000111_080,"Honolulu PD, HI",04/19/2020 11:26:00 AM +0000,ASSAULT,M,100,10198
1582245,LHP200419000164,4000 BLOCK KULAMANU ST,Honolulu_PD_HI_LHP200419000164_077,"Honolulu PD, HI",04/19/2020 12:17:00 PM +0000,MOTOR VEHICLE THEFT,M,100,10199
1582246,LHP200419000203,200 BLOCK N KING ST,Honolulu_PD_HI_LHP200419000203_080,"Honolulu PD, HI",04/19/2020 12:57:00 PM +0000,ASSAULT,M,100,10200
1582247,LHP200419000218,900 BLOCK LOLENA ST,Honolulu_PD_HI_LHP200419000218_077,"Honolulu PD, HI",04/19/2020 01:23:00 PM +0000,MOTOR VEHICLE THEFT,M,100,10201
1582248,LHP200419000227,850800 BLOCK FARRINGTON HWY,Honolulu_PD_HI_LHP200419000227_210,"Honolulu PD, HI",04/19/2020 01:51:00 PM +0000,DUI,M,100,10202
1582249,LHP200419000233,700 BLOCK AMANA ST,Honolulu_PD_HI_LHP200419000233_064,"Honolulu PD, HI",04/19/2020 01:58:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10203
1582250,LHP200419000275,950200 BLOCK HOAHELE PL,Honolulu_PD_HI_LHP200419000275_064,"Honolulu PD, HI",04/19/2020 03:10:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10204
